"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Чуть меньше 10000 — купон НЕ отправляется","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","1776","Негативный: оформление без ввода ID – ошибка","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1354","Data-Driven: Книга + Наушники + Клавиатура","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3573","Позитивный: подсказка про купон появляется когда сумма > 10000","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2397","Негативный: отрицательный ID – ошибка","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1317","Data-Driven: два Наушника (6000 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1665","Позитивный: скидка пользователя отображается после ввода ID","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1386","Последовательный: полный путь пользователя с купоном","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Отрицательная цена","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
"","1676","Негативный: пустая корзина – кнопка заблокирована","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2432","Позитивный: скидка пользователя отображается после ввода ID","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2300","Негативный: нечисловой ID – ошибка","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2739","Data-Driven: Книга + Наушники + Клавиатура","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3958","Data-Driven: Ручка + Книга (700 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1","Отрицательная скидка","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
"","932","Негативный: пустой ID – ошибка при нажатии «Применить»","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1","Чуть больше 10000 — купон отправляется","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","4066","Data-Driven: два Наушника (6000 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1009","Негативный: оформление без ввода ID – ошибка","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3564","Data-Driven: две Клавиатуры (12000 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1429","Негативный: отрицательный ID – ошибка","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2373","Последовательный: полный путь пользователя с купоном","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1510","Data-Driven: Блокнот (150 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","7760","Позитивный: сумма < 5000 – купон не выдается","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1259","Data-Driven: Ручка + Книга (700 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4127","Последовательный: полный путь пользователя с купоном","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2835","Позитивный: сумма < 5000 – купон не выдается","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
