"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4745","Позитивный: сумма > 10000 – купон выдается (coupon_sent = true)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4","Пустая корзина","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
"","1252","Негативный: отрицательный ID – ошибка","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4128","Data-Driven: два Наушника (6000 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4215","Data-Driven: две Клавиатуры (12000 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4147","Позитивный: сумма < 5000 – купон не выдается","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3142","Data-Driven: две Клавиатуры (12000 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2629","Последовательный: полный путь пользователя с купоном","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2415","Негативный: оформление без ввода ID – ошибка","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Отрицательная скидка","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
"","1984","Последовательный: полный путь пользователя с купоном","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3254","Позитивный: подсказка про купон появляется когда сумма > 10000","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2658","Негативный: отрицательный ID – ошибка","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1607","Негативный: пустая корзина – кнопка заблокирована","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1548","Data-Driven: Ручка + Книга (700 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1693","Data-Driven: два Наушника (6000 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1484","Негативный: нечисловой ID – ошибка","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4822","Data-Driven: Книга + Наушники + Клавиатура","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1","Чуть больше 10000 — купон отправляется","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","1459","Позитивный: подсказка про купон появляется когда сумма > 10000","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1746","Позитивный: сумма > 10000 – купон выдается (coupon_sent = true)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2741","Позитивный: скидка пользователя отображается после ввода ID","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1","Отрицательная цена","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
"","1","Применяются обе скидки без отправки купона","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","2","Чуть больше 5000 — автоскидка применяется","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","1665","Негативный: отрицательный ID – ошибка","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","18583","Позитивный: сумма < 5000 – купон не выдается","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Чуть меньше 10000 — купон НЕ отправляется","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","2560","Негативный: пустой ID – ошибка при нажатии «Применить»","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4091","Последовательный: полный путь пользователя с купоном","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4156","Data-Driven: Ручка + Книга (700 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3270","Data-Driven: Ручка + Книга (700 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3524","Позитивный: сумма > 10000 – купон выдается (coupon_sent = true)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4078","Позитивный: подсказка про купон появляется когда сумма > 10000","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1561","Data-Driven: Блокнот (150 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","18","Корректный расчёт суммы без автоскидки и без купона","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","1737","Негативный: пустой ID – ошибка при нажатии «Применить»","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","7623","Позитивный: сумма < 5000 – купон не выдается","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3685","Data-Driven: Блокнот (150 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
